Word,Count
jurong,1
crazy,10
available,15
bugis,7
world,37
la,7
buffet,2
cine,7
amore,1
wat,106
ok,287
lar,38
joking,6
wif,27
oni,4
dun,55
hor,2
nah,10
don,151
goes,26
usf,11
lives,4
brother,19
speak,23
treat,16
aids,1
patent,1
request,7
melle,6
oru,4
minnaminunginte,3
nurungu,3
vettam,3
set,19
callertune,10
callers,5
press,10
copy,9
friends,50
gonna,58
home,165
soon,58
talk,40
stuff,45
anymore,8
tonight,57
ve,84
cried,1
searching,5
words,23
thank,28
breather,1
promise,9
wont,32
help,36
granted,1
fulfil,1
wonderful,15
blessing,2
times,27
date,11
sunday,14
oh,113
watching,34
eh,12
remember,32
spell,3
name,37
yes,82
naughty,7
wet,3
fine,52
thatåõs,5
feel,62
gota,1
seriously,9
û,54
try,42
months,8
ha,16
ì,124
pay,30
da,150
stock,5
comin,11
aft,19
finish,42
lunch,46
str,3
lor,162
ard,22
smth,16
ur,241
ffffffffff,1
alright,24
meet,75
sooner,4
forced,1
eat,38
slice,2
hungry,12
tho,18
sucks,7
mark,8
getting,46
worried,10
sick,9
pizza,8
lol,74
convincing,2
catch,9
bus,30
frying,3
egg,5
tea,7
eating,7
mom,16
left,30
dinner,36
love,199
amp,86
re,102
packing,1
car,41
ll,265
ahhh,1
vaguely,1
wait,64
sarcastic,2
doesn,18
live,17
yeah,86
apologetic,1
fallen,1
actin,1
spoilt,1
child,3
caught,3
till,21
won,19
doing,88
badly,1
cheers,8
tell,123
fear,3
fainting,1
housework,1
quick,8
cuppa,1
yup,43
look,28
timings,1
msg,57
xuhui,3
learn,5
nd,12
lesson,17
am,216
oops,10
roommate,5
letter,4
decide,9
hello,49
saturday,9
texting,5
decided,16
tomo,19
trying,28
invite,3
pls,123
ahead,7
watts,1
weekend,24
abiola,11
forget,16
crave,11
sweet,35
arabian,1
steed,1
mmmmmm,2
yummy,3
seeing,14
hope,109
endowed,1
lt,316
gt,318
inches,4
calls,15
messages,12
missed,24
didn,46
hep,1
immunisation,1
nigeria,8
fair,3
hopefully,5
tyler,6
maybe,30
bit,43
stubborn,1
hospital,10
kept,4
telling,14
weak,5
sucker,1
hospitals,2
suckers,1
thinked,1
time,201
class,43
gram,3
usually,6
runs,3
half,27
eighth,2
smarter,1
fyi,6
ride,5
tomorrow,83
morning,79
crashing,1
wow,10
realized,3
embarassed,4
accomodations,1
liked,7
happy,106
cave,1
sorry,157
offered,1
embarassing,1
mallika,1
sherawat,1
yesterday,21
url,4
call,236
meeting,43
reached,10
gauti,1
sehwag,1
odi,2
series,4
pick,69
burger,1
yourself,21
move,11
pain,26
killing,2
joke,7
girls,11
situation,9
seekers,1
checking,11
iq,4
roommates,3
forever,9
double,6
check,35
hair,24
dresser,3
wun,7
cut,13
short,9
nice,62
song,9
