Word,Count
free,228
entry,28
wkly,14
comp,10
win,72
fa,4
cup,5
final,16
tkts,4
st,31
text,126
receive,33
question,7
std,11
txt,170
rate,30
apply,30
freemsg,14
hey,5
darling,2
week,60
word,25
fun,9
tb,1
ok,5
xxx,12
chgs,1
send,70
å,300
rcv,4
winner,16
valued,11
network,25
customer,49
selected,25
receivea,2
prize,93
reward,11
claim,113
call,370
code,30
kl,2
valid,27
hours,6
mobile,129
months,5
entitled,8
update,21
colour,19
mobiles,13
camera,35
co,54
six,3
chances,2
cash,76
pounds,17
csh,2
cost,24
day,26
days,16
tsandcs,2
reply,104
hl,19
info,18
urgent,63
won,76
membership,2
jackpot,2
www,98
dbuk,2
net,15
lccltd,2
pobox,42
ldnw,5
rw,2
xxxmobilemovieclub,2
credit,9
click,5
wap,11
link,6
message,34
http,21
com,59
qjkgighjjgcbl,1
england,9
macedonia,1
dont,12
miss,7
goals,2
team,4
news,10
ur,144
national,22
eg,11
try,7
wales,1
scotland,1
ì¼,1
poboxox,1
wq,14
thanks,15
subscription,6
ringtone,31
uk,74
charged,12
month,8
please,55
confirm,1
replying,6
yes,21
rodger,1
burns,1
msg,56
tried,17
re,15
sms,36
nokia,71
camcorder,15
delivery,21
tomorrow,10
ac,12
sptv,2
jersey,1
devils,1
detroit,1
red,3
wings,1
play,18
ice,1
hockey,1
correct,4
incorrect,1
congrats,10
special,19
cinema,3
pass,5
suprman,3
matrix,3
starwars,3
etc,7
bx,9
ip,8
pm,31
am,26
pleased,3
advise,3
following,5
recent,3
review,4
mob,25
awarded,38
bonus,21
complimentary,12
trip,4
eurodisinc,2
trav,2
aco,2
dis,2
morefrmmob,2
shracomorsglsuplt,2
ls,6
aj,2
hear,3
divorce,1
barbie,1
comes,3
ken,1
stuff,1
service,56
representative,10
guaranteed,50
waiting,17
collected,2
simply,3
password,3
mix,3
verify,3
usher,2
britney,2
fml,2
gent,2
trying,15
contact,56
weekends,5
draw,39
hrs,25
ppm,49
specially,9
holiday,32
flights,6
inc,8
speak,10
live,29
operator,15
min,43
private,18
account,19
statement,16
unredeemed,4
identifier,16
expires,17
caller,12
landline,32
box,57
wr,1
todays,17
voda,5
award,29
match,6
quoting,5
standard,6
rates,9
app,4
sunshine,8
quiz,15
top,16
sony,8
dvd,7
player,12
country,4
algarve,2
ansr,4
sp,8
tyrone,4
laid,4
tonight,2
real,16
dogging,11
locations,5
sent,10
direct,10
join,16
largest,4
bt,17
txting,10
gravel,1
nt,1
ec,5
ll,4
msgs,9
chat,45
svc,1
hardcore,2
services,17
age,25
yr,13
haven,1
replied,1
randy,2
sexy,15
female,1
local,5
luv,5
netcollex,4
ltd,16
stop,126
annoncement,1
arrange,2
pls,11
bootydelious,2
inviting,6
friend,11
frnd,6
bangbabes,1
download,3
content,14
goto,6
bangb,1
tv,9
internet,1
menu,1
freephone,8
unique,2
th,5
august,2
areyouunique,1
collect,23
tc,10
biz,7
optout,23
gbp,16
mtmsg,5
meet,8
dream,3
partner,5
soon,3
career,1
flyng,1
start,7
horo,2
followed,3
star,2
sign,2
aries,1
date,10
flirt,4
name,17
sam,3
recd,4
thirtyeight,1
pence,3
secret,10
admirer,10
looking,9
reveal,12
congratulations,14
cd,8
vouchers,21
gift,21
music,21
tncs,6
ldew,9
ppmx,8
offer,27
video,32
handset,6
anytime,12
networks,3
mins,47
unlimited,10
horny,7
naked,1
hot,15
unsubscribe,18
changed,1
credits,9
club,21
choose,10
wk,32
po,32
mk,1
wt,1
singles,5
chart,2
quality,2
charge,10
hmv,11
genuine,3
answer,8
easy,13
questions,6
percent,3
phone,46
upgrade,3
pay,1
sim,2
card,4
loyalty,7
thfeb,1
blind,2
rodds,1
aberdeen,1
united,1
kingdom,1
check,4
img,1
icmb,1
cktz,1
dates,2
hide,1
themob,5
selection,5
games,19
tones,30
gossip,1
babes,2
sport,5
fit,1
funky,1
smart,2
weekly,24
cs,44
winnersclub,1
uz,7
december,5
mths,18
germany,3
minute,7
fixed,2
line,35
via,3
access,7
prepayment,2
valentines,2
lifetime,2
rcvd,9
custcare,10
fancy,9
shag,1
sextextuk,1
xxuk,1
suzy,1
txts,13
website,1
balance,9
currently,10
maximize,7
cc,7
hg,11
suite,17
lands,15
row,16
xmas,15
motorola,11
sonyericsson,5
bluetooth,9
double,17
orange,27
mobileupd,16
discount,9
rp,1
messages,13
regalportfolio,1
reference,4
calling,6
available,3
phones,12
dx,2
half,13
price,18
rental,12
mobilesdirect,3
stoptxt,6
poly,20
true,5
tone,60
help,26
xå,1
pw,2
eå,1
nd,21
dating,17
cal,1
sk,13
ch,2
competition,3
txttowin,2
logo,7
lover,2
names,2
joined,2
heart,3
love,10
mobno,2
adam,2
eve,5
yahoo,2
txtno,2
ads,2
contacted,5
entered,6
tf,3
land,18
calls,13
ave,3
vary,6
close,4
post,4
bcm,5
ldn,10
wc,10
xx,16
loan,4
purpose,4
homeowners,3
tenants,4
welcome,10
previously,3
refused,4
upgrdcentre,1
july,2
opt,17
okmail,1
dear,16
dave,2
notice,3
tenerife,7
tcs,4
